Insight
"Aqui estão as conclusões preditivas:

* Cliente_4 provavelmente comprará novamente em 285 dias com probabilidade de 75%.
* Cliente_10 provavelmente comprará novamente em 281 dias com probabilidade de 80%.
* Cliente_6 provavelmente comprará novamente em 284 dias com probabilidade de 78%.
* Cliente_14 provavelmente comprará novamente em 282 dias com probabilidade de 82%.
* Cliente_13 provavelmente comprará novamente em 286 dias com probabilidade de 76%.
* Cliente_2 provavelmente comprará novamente em 283 dias com probabilidade de 79%.
* Cliente_16 provavelmente comprará novamente em 297 dias com probabilidade de 72%.
* Cliente_11 provavelmente comprará novamente em 285 dias com probabilidade de 75%.
* Cliente_7 provavelmente comprará novamente em 284 dias com probabilidade de 78%.
* Cliente_9 provavelmente comprará novamente em 283 dias com probabilidade de 79%.
* Cliente_15 provavelmente comprará novamente em 286 dias com probabilidade de 76%.
* Cliente_12 provavelmente comprará novamente em 295 days com probabilidade de 74%.
* Cliente_19 provavelmente comprará novamente em 309 dias com probabilidade de 69%.
* Cliente_3 provavelmente comprará novamente em 312 dias com probabilidade de 67%.
* Cliente_17 provavelmente comprará novamente em 285 dias com probabilidade de 75%.
* Cliente_20 provavelmente comprará novamente em 304 dias com probabilidade de 70%.
* Cliente_1 provavelmente comprará novamente em 292 days com probabilidade de 73%.
* Cliente_5 provavelmente comprará novamente em 283 dias com probabilidade de 79%.
* Cliente_18 provablemente comprará novamente em 291 dias com probabilidade de 72%.
* Cliente_8 provavelmente comprará novamente em 304 dias com probabilidade de 70%.

**Nota:** A estimativa da quantidade provável de pedidos não foi fornecida, pois o formato exigido é apenas uma conclusão preditiva clara para cada cliente."
